Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0.065,1,0,-0.90575,
0.0651,1,0,-0.905605,
0.0652,1,0,-0.90546,
0.0653,1,0,-0.905315,
0.0654,1,0,-0.90517,
0.0655,1,0,-0.905025,
0.0656,1,0,-0.90488,
0.0657,1,0,-0.904735,
0.0658,1,0,-0.90459,
0.0659,1,0,-0.904445,
0.066,1,0,-0.9043,
0.0661,1,0,-0.904155,
0.0662,1,0,-0.90401,
0.0663,1,0,-0.903865,
0.0664,1,0,-0.90372,
0.0665,1,0,-0.903575,
0.0666,1,0,-0.90343,
0.0667,1,0,-0.903285,
0.0668,1,0,-0.90314,
0.0669,1,0,-0.902995,
0.067,1,0,-0.90285,
0.0671,1,0,-0.902705,
0.0672,1,0,-0.90256,
0.0673,1,0,-0.902415,
0.0674,1,0,-0.90227,
0.0675,1,0,-0.902125,
0.0676,1,0,-0.90198,
0.0677,1,0,-0.901835,
0.0678,1,0,-0.90169,
0.0679,1,0,-0.901545,
0.068,1,0,-0.9014,
0.0681,1,0,-0.901255,
0.0682,1,0,-0.90111,
0.0683,1,0,-0.900965,
0.0684,1,0,-0.90082,
0.0685,1,0,-0.900675,
0.0686,1,0,-0.90053,
0.0687,1,0,-0.900385,
0.0688,1,0,-0.90024,
0.0689,1,0,-0.900095,
0.069,1,0,-0.89995,
0.0691,1,0,-0.899805,
0.0692,1,0,-0.89966,
0.0693,1,0,-0.899515,
0.0694,1,0,-0.89937,
0.0695,1,0,-0.899225,
0.0696,1,0,-0.89908,
0.0697,1,0,-0.898935,
0.0698,1,0,-0.89879,
0.0699,1,0,-0.898645,
0.07,1,0,-0.8985,
0.0701,1,0,-0.898355,
0.0702,1,0,-0.89821,
0.0703,1,0,-0.898065,
0.0704,1,0,-0.89792,
0.0705,1,0,-0.897775,
0.0706,1,0,-0.89763,
0.0707,1,0,-0.897485,
0.0708,1,0,-0.89734,
0.0709,1,0,-0.897195,
0.071,1,0,-0.89705,
0.0711,1,0,-0.896905,
0.0712,1,0,-0.89676,
0.0713,1,0,-0.896615,
0.0714,1,0,-0.89647,
0.0715,1,0,-0.896325,
0.0716,1,0,-0.89618,
0.0717,1,0,-0.896035,
0.0718,1,0,-0.89589,
0.0719,1,0,-0.895745,
0.072,1,0,-0.8956,
0.0721,1,0,-0.895455,
0.0722,1,0,-0.89531,
0.0723,1,0,-0.895165,
0.0724,1,0,-0.89502,
0.0725,1,0,-0.894875,
0.0726,1,0,-0.89473,
0.0727,1,0,-0.894585,
0.0728,1,0,-0.89444,
0.0729,1,0,-0.894295,
0.073,1,0,-0.89415,
0.0731,1,0,-0.894005,
0.0732,1,0,-0.89386,
0.0733,1,0,-0.893715,
0.0734,1,0,-0.89357,
0.0735,1,0,-0.893425,
0.0736,1,0,-0.89328,
0.0737,1,0,-0.893135,
0.0738,1,0,-0.89299,
0.0739,1,0,-0.892845,
0.074,1,0,-0.8927,
0.0741,1,0,-0.892555,
0.0742,1,0,-0.89241,
0.0743,1,0,-0.892265,
0.0744,1,0,-0.89212,
0.0745,1,0,-0.891975,
0.0746,1,0,-0.89183,
0.0747,1,0,-0.891685,
0.0748,1,0,-0.89154,
0.0749,1,0,-0.891395,
0.075,1,0,-0.89125,
0.0751,1,0,-0.891105,
0.0752,1,0,-0.89096,
0.0753,1,0,-0.890815,
0.0754,1,0,-0.89067,
0.0755,1,0,-0.890525,
0.0756,1,0,-0.89038,
0.0757,1,0,-0.890235,
0.0758,1,0,-0.89009,
0.0759,1,0,-0.889945,
0.076,1,0,-0.8898,
0.0761,1,0,-0.889655,
0.0762,1,0,-0.88951,
0.0763,1,0,-0.889365,
0.0764,1,0,-0.88922,
0.0765,1,0,-0.889075,
0.0766,1,0,-0.88893,
0.0767,1,0,-0.888785,
0.0768,1,0,-0.88864,
0.0769,1,0,-0.888495,
0.077,1,0,-0.88835,
0.0771,1,0,-0.888205,
0.0772,1,0,-0.88806,
0.0773,1,0,-0.887915,
0.0774,1,0,-0.88777,
0.0775,1,0,-0.887625,
0.0776,1,0,-0.88748,
0.0777,1,0,-0.887335,
0.0778,1,0,-0.88719,
0.0779,1,0,-0.887045,
0.078,1,0,-0.8869,
0.0781,1,0,-0.886755,
0.0782,1,0,-0.88661,
0.0783,1,0,-0.886465,
0.0784,1,0,-0.88632,
0.0785,1,0,-0.886175,
0.0786,1,0,-0.88603,
0.0787,1,0,-0.885885,
0.0788,1,0,-0.88574,
0.0789,1,0,-0.885595,
0.079,1,0,-0.88545,
0.0791,1,0,-0.885305,
0.0792,1,0,-0.88516,
0.0793,1,0,-0.885015,
0.0794,1,0,-0.88487,
0.0795,1,0,-0.884725,
0.0796,1,0,-0.88458,
0.0797,1,0,-0.884435,
0.0798,1,0,-0.88429,
0.0799,1,0,-0.884145,
0.08,1,0,-0.884,
0.0801,1,0,-0.883855,
0.0802,1,0,-0.88371,
0.0803,1,0,-0.883565,
0.0804,1,0,-0.88342,
0.0805,1,0,-0.883275,
0.0806,1,0,-0.88313,
0.0807,1,0,-0.882985,
0.0808,1,0,-0.88284,
0.0809,1,0,-0.882695,
0.081,1,0,-0.88255,
0.0811,1,0,-0.882405,
0.0812,1,0,-0.88226,
0.0813,1,0,-0.882115,
0.0814,1,0,-0.88197,
0.0815,1,0,-0.881825,
0.0816,1,0,-0.88168,
0.0817,1,0,-0.881535,
0.0818,1,0,-0.88139,
0.0819,1,0,-0.881245,
0.082,1,0,-0.8811,
0.0821,1,0,-0.880955,
0.0822,1,0,-0.88081,
0.0823,1,0,-0.880665,
0.0824,1,0,-0.88052,
0.0825,1,0,-0.880375,
0.0826,1,0,-0.88023,
0.0827,1,0,-0.880085,
0.0828,1,0,-0.87994,
0.0829,1,0,-0.879795,
0.083,1,0,-0.87965,
0.0831,1,0,-0.879505,
0.0832,1,0,-0.87936,
0.0833,1,0,-0.879215,
0.0834,1,0,-0.87907,
0.0835,1,0,-0.878925,
0.0836,1,0,-0.87878,
0.0837,1,0,-0.878635,
0.0838,1,0,-0.87849,
0.0839,1,0,-0.878345,
0.084,1,0,-0.8782,
0.0841,1,0,-0.878055,
0.0842,1,0,-0.87791,
0.0843,1,0,-0.877765,
0.0844,1,0,-0.87762,
0.0845,1,0,-0.877475,
0.0846,1,0,-0.87733,
0.0847,1,0,-0.877185,
0.0848,1,0,-0.87704,
0.0849,1,0,-0.876895,
0.085,1,0,-0.87675,
0.0851,1,0,-0.876605,
0.0852,1,0,-0.87646,
0.0853,1,0,-0.876315,
0.0854,1,0,-0.87617,
0.0855,1,0,-0.876025,
0.0856,1,0,-0.87588,
0.0857,1,0,-0.875735,
0.0858,1,0,-0.87559,
0.0859,1,0,-0.875445,
0.086,1,0,-0.8753,
0.0861,1,0,-0.875155,
0.0862,1,0,-0.87501,
0.0863,1,0,-0.874865,
0.0864,1,0,-0.87472,
0.0865,1,0,-0.874575,
0.0866,1,0,-0.87443,
0.0867,1,0,-0.874285,
0.0868,1,0,-0.87414,
0.0869,1,0,-0.873995,
0.087,1,0,-0.87385,
